Voltages [V],Pressures [Tor],Drift Speed [cm/us],SD [cm/us],Drift Speed [cm/s],SD [cm/s],,,
1800,1498.695034,0.33912,0.0106964,339120,10696.4,,,
1900,158.0272814,0.343681,0.00901886,343681,9018.86,,,
1900,305.8362458,0.344137,0.00921305,344137,9213.05,,,
1900,497.8134186,0.345187,0.00846924,345187,8469.24,,,
1900,703.1486686,0.345145,0.00784722,345145,7847.22,,,
1900,897.5405459,0.345856,0.00781381,345856,7813.81,,,
1900,1000.952929,0.345083,0.00806507,345083,8065.07,,,
1900,1003.961493,0.344115,0.00917051,344115,9170.51,,,
1900,1005.967095,0.344382,0.00887245,344382,8872.45,,,
1900,1106.136614,0.34425,0.0091128,344250,9112.8,,,
1900,1304.82908,0.344165,0.00928519,344165,9285.19,,,
1900,1498.695034,0.343135,0.0107039,343135,10703.9,,,
